site,timestamp,util,dmo,resp
local,0,0.704215723541,0.279221609889,0.264721801395
local,1,0.260583521236,0.19867265992,0.350222866437
local,2,0.496224224834,0.079675022741,1.05859910745
local,3,0.560873033182,0.0339392795284,0.0812213267224
local,4,0.659398383891,0.106816870418,0.575964648017
local,5,0.363763168692,0.168256008991,0.14523657002
local,6,0.586172066157,0.162861126474,0.577122097594
local,7,0.394815349813,0.17935340935,1.06694090403
local,8,0.274708508012,0.0978080030276,0.555880331287
local,9,0.423974123278,0.0534345105001,0.609876167663
local,10,0.612173316436,0.0862424140578,0.0677932080063
local,11,0.369886260561,0.111414679154,0.465557652758
local,12,0.162926573474,0.343276377578,0.260789169041
local,13,0.135436710589,0.188642410076,0.48740590035
local,14,0.446164432436,0.071875307571,0.138897519772
local,15,0.400820377751,0.0594122986268,0.156121059809
local,16,0.503922251315,0.11992756233,0.678033976538
local,17,0.522000793745,0.113583775916,0.552376412247
local,18,0.598455086567,0.0417663100513,0.278296331302
local,19,0.197296964832,0.233124142333,0.649898331495
local,20,0.100575185764,0.0739580768886,0.198538911612
local,21,0.472807160027,0.131074061239,0.425284553089
local,22,0.0842396551643,0.0619882916998,0.27809592871
local,23,0.274465508108,0.143172345081,0.0030902169903
local,24,0.57629509127,0.120697717056,0.228410162887
local,25,0.523399374347,0.0340767521484,0.0393291105114
local,26,0.623183645375,0.0516510068565,0.305846184593
local,27,0.19872329086,0.0600159455986,0.0332820695959
local,28,0.348395642735,0.257575275166,0.333313004174
local,29,0.487252828658,0.265597792822,0.0192910907721
local,30,0.33619390214,0.029619839965,0.336074859058
local,31,0.860084775943,0.126576163565,0.808980588749
local,32,0.392152216175,0.0167756963127,0.228969942405
local,33,0.63966251921,0.0258827058324,0.255688462917
local,34,0.691194315641,0.262179696503,0.322620428333
local,35,0.732004332318,0.073375902757,0.40344601972
local,36,0.621307767478,0.145710219786,0.0200974377808
local,37,0.644533971856,0.127839710588,0.0215899675665
local,38,0.728118715932,0.195295163599,0.286348985631
local,39,0.371760314056,0.120315783284,0.379774080066
local,40,0.509174683712,0.00925292979076,0.276894540216
local,41,0.638769290689,0.0989499777695,0.179480235816
local,42,0.116334405571,0.268481111631,0.0808251489275
local,43,0.508026965843,0.178725547483,0.262566841718
local,44,0.621518115629,0.2277399235,0.39862810684
local,45,0.532887554261,0.107241465589,0.23837164044
local,46,0.221972266628,0.0939799967511,0.115153748475
local,47,0.435248898295,0.124641237886,0.397903366589
local,48,0.0022638491507,0.125106438726,0.485342149784
local,49,0.347030036615,0.180713102106,0.406347193984
local,50,0.220709234709,0.205911894828,0.627685526869
local,51,0.458279040026,0.121086472774,0.322394622324
local,52,0.225169358692,0.352322043728,0.447036536692
local,53,0.38900348925,0.149308433014,0.124742690691
local,54,0.436054184882,0.100480295153,0.243482692116
local,55,0.397260600756,0.0273789812396,0.483791578563
local,56,0.525264243273,0.0371519100269,0.235445804971
local,57,0.320851181779,0.0656861403587,0.426551029602
local,58,0.459937805144,0.0510116801711,0.665463078341
local,59,0.632436381715,0.073577204822,0.145354046276
local,60,0.677063418,0.00876522608589,0.124410180356
local,61,0.424388078054,0.249995830735,0.624116967447
local,62,0.400955657784,0.104731734331,0.13099018083
local,63,0.738520928516,0.2610110129,0.0691767073831
local,64,0.585874473393,0.117535993457,0.02976144417
local,65,0.280671123931,0.105627675844,0.25404756064
local,66,0.290904782649,0.0812224862496,0.250417162585
local,67,0.569911477198,0.165471708619,0.664856772511
local,68,0.457066410215,0.0342298494563,0.243200022156
local,69,0.161267888473,0.00573878817262,0.709437101878
local,70,0.604215661856,0.10274468558,0.575356986545
local,71,0.29741978131,0.180554129228,0.284677137399
local,72,0.550131980379,0.00573279432679,0.202823088375
local,73,0.819746085097,0.216504531046,0.110751657452
local,74,0.30467789732,0.0415136543189,0.667828911673
local,75,0.587105701103,0.0816599968607,0.352527337497
local,76,0.0980171674705,0.134243747364,0.125915986167
local,77,0.809342955034,0.0861621374325,0.331596876291
local,78,0.563923211078,0.0514235416833,0.438032868096
local,79,0.504491509701,0.157070408266,0.740605311262
local,80,0.369377423744,0.181371416876,0.332979426659
local,81,0.588235335997,0.0577965032208,0.36237932119
local,82,0.511057183289,0.233079007111,0.0804389287835
local,83,0.392306640817,0.0549736217438,0.606888562922
local,84,0.169893495822,0.160778192452,0.144126164473
local,85,0.546199969117,0.119755385926,0.0524924315377
local,86,0.429401404137,0.0898855564736,0.0591314580145
local,87,0.520820919094,0.0429859244146,0.0902817754465
local,88,0.668900666622,0.126898265306,0.102438323954
local,89,0.264430667051,0.278344792682,0.214213844271
local,90,0.253785326566,0.0654185909027,0.0383147344207
local,91,0.209528413483,0.273860541162,0.246229094948
local,92,0.394108322422,0.00704582086692,0.1419203095
