site,timestamp,util,dmo,resp
local,0,0.48932973345,0.316903000278,5.4689652417
local,1,0.555136608717,0.196374676839,2.11883955901
local,2,0.529471099342,0.166235064751,1.34123804689
local,3,0.343022877262,0.0939539360142,4.81944275744
local,4,0.628914375617,0.0434184371007,2.04360355501
local,5,0.270471927737,0.0809103052195,4.19149513387
local,6,0.0660573134369,0.00967337208037,3.78658242868
local,7,0.269927087127,0.0509288622772,1.58557432106
local,8,0.60062921427,0.0619438633306,2.38847028957
local,9,0.412304433966,0.0640289916098,5.04432374984
local,10,0.132902470629,0.179488442937,4.12562763062
local,11,0.213586064165,0.0912543623428,1.06666954334
local,12,0.238325052002,0.0875552030116,0.263869173421
local,13,0.643312678252,0.00441447118514,2.70078920921
local,14,0.589733560241,0.161000407986,3.9807627249
local,15,0.44420767145,0.0881084406764,3.26154279828
local,16,0.438502891846,0.0419218282297,0.346260929062
local,17,0.335859262247,0.0715687901236,3.00134452583
local,18,0.632644558236,0.115970392114,6.11997001948
local,19,0.200485270018,0.0959119496214,5.27726066455
local,20,0.223528290583,0.0529533273391,2.47732165529
local,21,0.448826414329,0.0495495301724,3.98034263852
local,22,0.0946092738294,0.116414172782,4.11907047317
local,23,0.566309340641,0.262263583814,2.37104487342
local,24,0.780280044775,0.0670753981184,2.91888915823
local,25,0.412906192512,0.00866736110901,3.6235441804
local,26,0.35455539279,0.163342786064,7.91107696062
local,27,0.475906813272,0.172147316041,1.65753645865
local,28,0.22806596996,0.232539442464,7.96840721282
local,29,0.701957265526,0.0018595729093,4.77441922251
local,30,0.41975711052,0.136326044495,5.11636676345
local,31,0.27653017319,0.00978846306164,0.768524588564
local,32,0.384094569998,0.125478801782,1.81548305934
local,33,0.566440336609,0.0211582708969,5.12703033313
local,34,0.32297337067,0.157557903633,0.428089484343
local,35,0.71809422873,0.171279402545,7.45115145341
local,36,0.560202002611,0.110625987214,6.02506390247
local,37,0.678609260211,0.0311070706943,5.54113134451
local,38,0.123574162566,0.0984549200281,7.38988843507
local,39,0.371655490399,0.215231473014,0.375687658486
local,40,0.292868389884,0.130207497321,0.129887505459
local,41,0.0102105745334,0.121403335067,0.990728220065
local,42,0.560520123188,0.229835618884,4.09330273952
local,43,0.398754691227,0.141438513798,2.87018579464
local,44,0.53472797929,0.112475929066,1.55520842829
local,45,0.398303007434,0.0653135997002,0.487349606433
local,46,0.208832668484,0.115596022646,2.72332452565
local,47,0.346084388297,0.174714763483,0.297094253097
local,48,0.0124679007034,0.15185465847,0.0740608529752
local,49,0.118198975195,0.145757325359,1.30998129737
local,50,0.459492899074,0.168318610788,8.6686936715
local,51,0.296025412352,0.14532460118,2.69301806745
local,52,0.316517162669,0.280139044758,1.72730354512
local,53,0.601965542178,0.177196016028,3.25149644793
local,54,0.45002653203,0.165649614195,5.43275816707
local,55,0.177236182377,0.10810475346,3.3598521512
local,56,0.149584321448,0.0556221973146,5.67102879159
local,57,0.274020870071,0.0152657859226,0.835478103696
local,58,0.591776909875,0.221110333836,0.824768647179
local,59,0.36039832258,0.134293621572,0.149529650901
local,60,0.218634954162,0.149519041437,2.33777103214
local,61,0.528954142263,0.24588646904,4.66135187959
local,62,0.301831423129,0.156060116294,3.52751989435
local,63,0.345843962899,0.0634913787108,0.723176279346
local,64,0.588892466641,0.216506646587,6.15143430389
local,65,0.326123873741,0.235220007832,0.727672307846
local,66,0.61132950162,0.169324053627,4.08364634089
local,67,0.238340305812,0.0471508671245,6.81274401935
local,68,0.784826504688,0.225494916282,1.92803342319
local,69,0.390125321171,0.0440292317328,4.73826894173
local,70,0.112259557113,0.258806835811,1.50347289047
local,71,0.611459795598,0.0150630513461,7.56406421179
local,72,0.386712714909,0.228629943809,2.9668451468
local,73,0.150806800195,0.0658084536493,1.60376287152
local,74,0.730328442403,0.145250553082,0.286422540528
local,75,0.719317145827,0.172483404366,4.44001372607
local,76,0.0805522550389,0.0596655478521,0.10178190648
local,77,0.104038396846,0.0299639240332,4.48885362083
local,78,0.534033503238,0.100447761099,3.25155903347
local,79,0.485238451877,0.030548467719,5.18039139846
local,80,0.316689933848,0.0579992180519,1.44966093262
local,81,0.723348803545,0.156853409622,0.112870529026
local,82,0.652278136608,0.234590390201,0.285270289368
local,83,0.250958017348,0.216911297131,3.07887181206
local,84,0.613447158616,0.215882587606,3.95691463408
local,85,0.515823174457,0.106593451688,2.78306240606
local,86,0.144402474372,0.312505688491,6.05899225146
local,87,0.307926153973,0.0426879302735,3.63354981438
local,88,0.336075878137,0.211622132604,4.98383755148
local,89,0.269893245828,0.059839018088,7.56665258641
local,90,0.926774512716,0.0912556922122,8.0745208477
local,91,0.651680958408,0.0488498482691,5.58598514372
local,92,0.662234106451,0.0505020161839,0.691064483297
local,93,0.520106965504,0.0431611741591,5.83502179928
local,94,0.380367295487,0.185481287819,1.66888744102
local,95,0.285447716483,0.00424047767995,3.15241756757
local,96,0.222260787346,0.079674553596,4.9373138359
local,97,0.63360576656,0.0751972424656,0.172334359285
local,98,0.406045479806,0.247214042156,1.67409138232
local,99,0.645822511456,0.155209555089,0.866961186667
local,100,0.40675248184,0.0724157694436,3.45519521317
local,101,0.412731901686,0.0326909522819,1.13838665791
local,102,0.430382092797,0.145981161988,3.07332529662
local,103,0.0830223119734,0.274989797031,3.5337949698
local,104,0.655745028354,0.258604262899,5.06271723244
local,105,0.473066984032,0.0996568524034,4.94977382746
local,106,0.740578134026,0.0372524911838,1.33036201151
local,107,0.82681744206,0.0951280829618,0.492523309768
local,108,0.289512647401,0.0429801275899,4.2989467123
local,109,0.594492376922,0.167489013715,2.96703239549
local,110,0.894244625337,0.0145047249214,0.0861177030332
local,111,0.501554121473,0.0103128362258,2.40337191067
local,112,0.345227948527,0.0582175165786,7.07523114118
